City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Port Macquarie,AU,68.85,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
3,Shimoda,JP,73.11,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
4,Rikitea,PF,77.63,light rain,-23.1203,-134.9692,People ThankYou
6,Touros,BR,76.12,light rain,-5.1989,-35.4608,INN NEW HORIZON
7,Kibakwe,TZ,59.16,few clouds,-6.7167,36.3667,Muleba guest house
9,Hilo,US,78.28,mist,19.7297,-155.09,Hilo Hawaiian Hotel
10,Aswan,EG,78.1,clear sky,24.0934,32.907,Nuba Nile
11,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
12,Kapaa,US,82.38,moderate rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
13,Sao Joao Da Barra,BR,76.86,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
14,Cape Town,ZA,58.12,fog,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
15,Souillac,MU,75.83,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
16,Karatu,TZ,59.45,broken clouds,-3.3333,35.6667,Highview Coffee Lodge
17,Srivardhan,IN,81.84,clear sky,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
18,Mitsamiouli,KM,79.84,broken clouds,-11.3847,43.2844,Foyer ADM
19,Inhambane,MZ,67.24,few clouds,-23.865,35.3833,Oceano
20,Mayo,US,66.31,mist,38.8876,-76.5119,Resorts Resource Group International
22,Albany,US,54.52,overcast clouds,42.6001,-73.9662,
24,Hobart,AU,57.25,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
25,Port Elizabeth,ZA,61.11,broken clouds,-33.918,25.5701,39 On Nile Guest House
28,Hermanus,ZA,61.36,few clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
29,Beidao,CN,69.58,clear sky,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
30,Bredasdorp,ZA,58.14,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
32,La Palma,US,83.93,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
33,Jackson,US,78.67,clear sky,42.4165,-122.8345,Agate Village Apartments
34,Vaini,TO,76.73,scattered clouds,-21.2,-175.2,Keleti Beach Resort
35,Moron,AR,58.98,broken clouds,-34.6534,-58.6198,Hotel Morón
36,Lubango,AO,55.29,clear sky,-14.9172,13.4925,Hotel Serra da Chela
38,Butaritari,KI,81.36,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
39,Akyab,MM,83.95,clear sky,20.15,92.9,Hotel Memory
40,Victoria,HK,81.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
41,Ponta Do Sol,PT,64.0,scattered clouds,32.6667,-17.1,Hotel do Campo
43,Puerto Ayora,EC,73.27,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
44,Pisco,PE,63.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
45,Luang Prabang,LA,85.68,broken clouds,19.8856,102.1347,The Apsara
