City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Ushuaia,AR,-54.8,-68.3,35.24,94,65,5.1,broken clouds
1,Port Macquarie,AU,-31.4333,152.9167,68.85,74,98,8.05,overcast clouds
2,Punta Arenas,CL,-53.15,-70.9167,42.12,81,92,11.95,light rain
3,Shimoda,JP,34.6667,138.95,73.11,62,100,7.63,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,77.63,84,71,19.95,light rain
5,Nanortalik,GL,60.1432,-45.2371,31.21,87,100,6.33,overcast clouds
6,Touros,BR,-5.1989,-35.4608,76.12,93,99,11.01,light rain
7,Kibakwe,TZ,-6.7167,36.3667,59.16,88,19,2.82,few clouds
8,Saskylakh,RU,71.9167,114.0833,27.57,90,100,6.58,overcast clouds
9,Hilo,US,19.7297,-155.09,78.28,93,100,5.01,mist
10,Aswan,EG,24.0934,32.907,78.1,29,0,11.5,clear sky
11,Avarua,CK,-21.2078,-159.775,82.45,74,20,9.22,few clouds
12,Kapaa,US,22.0752,-159.319,82.38,77,40,14.97,moderate rain
13,Sao Joao Da Barra,BR,-21.6403,-41.0511,76.86,88,71,16.11,broken clouds
14,Cape Town,ZA,-33.9258,18.4232,58.12,90,100,4.61,fog
15,Souillac,MU,-20.5167,57.5167,75.83,83,72,18.61,light rain
16,Karatu,TZ,-3.3333,35.6667,59.45,96,83,5.5,broken clouds
17,Srivardhan,IN,18.0333,73.0167,81.84,76,0,7.34,clear sky
18,Mitsamiouli,KM,-11.3847,43.2844,79.84,73,74,7.09,broken clouds
19,Inhambane,MZ,-23.865,35.3833,67.24,88,12,6.15,few clouds
20,Mayo,US,38.8876,-76.5119,66.31,92,0,1.01,mist
21,Zhigansk,RU,66.7697,123.3711,24.94,78,19,10.56,few clouds
22,Albany,US,42.6001,-73.9662,54.52,92,98,4.52,overcast clouds
23,Coihaique,CL,-45.5752,-72.0662,38.59,97,25,5.93,scattered clouds
24,Hobart,AU,-42.8794,147.3294,57.25,74,20,5.75,few clouds
25,Port Elizabeth,ZA,-33.918,25.5701,61.11,100,75,5.75,broken clouds
26,Upernavik,GL,72.7868,-56.1549,2.52,94,7,6.33,clear sky
27,Vertou,FR,47.1687,-1.4693,49.98,81,0,4.61,clear sky
28,Hermanus,ZA,-34.4187,19.2345,61.36,80,16,4.38,few clouds
29,Beidao,CN,34.5686,105.8933,69.58,49,0,6.33,clear sky
30,Bredasdorp,ZA,-34.5322,20.0403,58.14,92,100,3.53,overcast clouds
31,Goderich,CA,43.7501,-81.7165,40.91,86,12,8.43,few clouds
32,La Palma,US,33.8464,-118.0467,83.93,63,0,10.36,clear sky
33,Jackson,US,42.4165,-122.8345,78.67,33,0,11.5,clear sky
34,Vaini,TO,-21.2,-175.2,76.73,76,32,11.03,scattered clouds
35,Moron,AR,-34.6534,-58.6198,58.98,83,62,5.03,broken clouds
36,Lubango,AO,-14.9172,13.4925,55.29,61,3,4.56,clear sky
37,Yellowknife,CA,62.456,-114.3525,37.56,100,100,5.99,overcast clouds
38,Butaritari,KI,3.0707,172.7902,81.36,77,28,13.02,scattered clouds
39,Akyab,MM,20.15,92.9,83.95,58,0,5.91,clear sky
40,Victoria,HK,22.2855,114.1577,81.97,73,100,11.99,overcast clouds
41,Ponta Do Sol,PT,32.6667,-17.1,64.0,70,26,6.64,scattered clouds
42,Tuktoyaktuk,CA,69.4541,-133.0374,26.6,86,100,14.97,overcast clouds
43,Puerto Ayora,EC,-0.7393,-90.3518,73.27,91,46,4.74,scattered clouds
44,Pisco,PE,-13.7,-76.2167,63.01,91,4,1.68,clear sky
45,Luang Prabang,LA,19.8856,102.1347,85.68,55,51,0.36,broken clouds
46,Karratha,AU,-20.7377,116.8463,80.71,34,0,25.75,clear sky
47,Chuy,UY,-33.6971,-53.4616,56.01,82,0,3.71,clear sky
48,Mishan,CN,45.55,131.8833,70.75,37,100,12.41,overcast clouds
49,Vanimo,PG,-2.6741,141.3028,87.08,66,88,4.79,overcast clouds
50,Busselton,AU,-33.65,115.3333,59.11,49,0,16.37,clear sky
51,Bubaque,GW,11.2833,-15.8333,78.15,69,0,14.45,clear sky
52,Dingle,PH,10.9995,122.6711,87.19,64,100,12.77,overcast clouds
53,Baiyin,CN,36.5583,104.2081,72.73,20,2,4.9,clear sky
54,Naze,JP,28.3667,129.4833,67.12,90,100,10.65,moderate rain
55,Faya,SA,18.3851,42.4509,55.92,61,4,1.83,clear sky
56,Karlshamn,SE,56.1706,14.8619,37.9,80,100,3.83,overcast clouds
57,Otavi,NA,-19.65,17.3333,55.06,39,0,9.35,clear sky
58,Phimai,TH,15.2232,102.4947,84.33,53,39,6.62,scattered clouds
59,Alta Floresta,BR,-9.8756,-56.0861,71.69,93,59,2.95,broken clouds
60,Angoche,MZ,-16.2325,39.9086,70.11,94,31,7.85,scattered clouds
61,Chokurdakh,RU,70.6333,147.9167,22.93,82,100,4.83,overcast clouds
62,Saint-Georges,GD,12.0564,-61.7485,79.12,78,49,13.91,scattered clouds
63,Itoman,JP,26.1247,127.6694,75.22,88,75,11.5,mist
64,Nome,US,64.5011,-165.4064,41.16,80,0,5.75,clear sky
65,San Patricio,US,28.017,-97.5169,81.9,87,100,15.39,overcast clouds
66,Manggar,ID,-2.8833,108.2667,83.68,72,94,3.85,overcast clouds
67,Longyearbyen,SJ,78.2186,15.6401,19.24,68,40,2.3,scattered clouds
68,Hobyo,SO,5.3505,48.5268,83.07,72,77,14.85,broken clouds
69,Saint George,US,37.1041,-113.5841,75.63,22,0,10.0,clear sky
70,Alofi,NU,-19.0595,-169.9187,80.49,74,16,8.05,few clouds
71,Lluta,PE,-16.0147,-72.0142,51.3,60,1,0.85,clear sky
72,Horve,DK,55.7529,11.453,44.26,91,97,8.75,overcast clouds
73,Castro,BR,-24.7911,-50.0119,48.7,96,1,5.46,clear sky
74,Burnie,AU,-41.0667,145.9167,59.94,49,69,8.14,broken clouds
75,Sorong,ID,-0.8833,131.25,84.52,72,99,4.83,overcast clouds
76,Yei,SS,4.095,30.6779,66.09,97,100,2.68,overcast clouds
77,Flinders,AU,-34.5833,150.8552,70.18,73,15,5.99,few clouds
78,Mahebourg,MU,-20.4081,57.7,76.24,81,33,20.29,light rain
79,Cravo Norte,CO,6.3017,-70.2041,85.23,56,94,3.53,overcast clouds
80,Khatanga,RU,71.9667,102.5,19.87,86,53,10.25,broken clouds
81,Cayenne,GF,4.9333,-52.3333,79.09,1,100,2.3,overcast clouds
