City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Atuona,-9.8,-139.0333,78.73,73,90,16.6,PF,2022-05-04 17:13:38
1,Victoria,22.2855,114.1577,76.17,79,24,8.01,HK,2022-05-04 17:12:17
2,Norman Wells,65.282,-126.8329,37.35,97,100,9.62,CA,2022-05-04 17:13:39
3,Jamestown,42.097,-79.2353,53.53,95,100,10.36,US,2022-05-04 17:13:39
4,Coquimbo,-29.9533,-71.3436,58.73,77,100,5.75,CL,2022-05-04 17:13:17
5,Rawson,-43.3002,-65.1023,68.97,40,100,19.19,AR,2022-05-04 17:13:40
6,Luderitz,-26.6481,15.1594,66.43,59,5,5.59,NA,2022-05-04 17:13:40
7,Nanakuli,21.3906,-158.1547,73.35,78,0,6.91,US,2022-05-04 17:13:41
8,Jardim,-21.4803,-56.1381,72.72,40,2,9.78,BR,2022-05-04 17:13:07
9,Mahebourg,-20.4081,57.7,79.09,78,40,16.11,MU,2022-05-04 17:13:41
10,Komsomolskiy,40.4272,71.7189,70.52,52,40,9.22,UZ,2022-05-04 17:13:42
11,Port Alfred,-33.5906,26.891,64.18,91,2,4.09,ZA,2022-05-04 17:13:42
12,East London,-33.0153,27.9116,68.63,83,0,4.23,ZA,2022-05-04 17:13:43
13,Jacareacanga,-6.2222,-57.7528,86.59,68,52,2.86,BR,2022-05-04 17:13:43
14,Half Moon Bay,37.4636,-122.4286,76.48,64,2,1.88,US,2022-05-04 17:13:44
15,Cherskiy,68.75,161.3,30.6,99,100,3.74,RU,2022-05-04 17:13:44
16,Chapais,49.7834,-74.8492,35.38,65,98,10.58,CA,2022-05-04 17:13:45
17,Ivangorod,59.3716,28.2162,39.54,57,9,3.87,RU,2022-05-04 17:13:45
18,Qaanaaq,77.484,-69.3632,23.07,73,42,0.96,GL,2022-05-04 17:10:54
19,Shadrinsk,56.0852,63.6335,51.15,37,29,8.05,RU,2022-05-04 17:13:46
20,Pacific Grove,36.6177,-121.9166,70.21,74,0,10.0,US,2022-05-04 17:13:30
21,Rikitea,-23.1203,-134.9692,77.43,82,68,20.24,PF,2022-05-04 17:13:46
22,Ajmer,26.45,74.6333,87.13,20,0,11.9,IN,2022-05-04 17:13:47
23,San Cristobal,7.7669,-72.225,84.11,45,75,7.78,VE,2022-05-04 17:10:45
24,Hilo,19.7297,-155.09,75.27,97,100,3.44,US,2022-05-04 17:12:59
25,Mataura,-46.1927,168.8643,46.47,90,2,2.93,NZ,2022-05-04 17:13:47
26,Saskylakh,71.9167,114.0833,19.87,93,100,6.38,RU,2022-05-04 17:13:48
27,Georgetown,5.4112,100.3354,82.33,83,20,0.0,MY,2022-05-04 17:09:58
28,Rio Branco,-9.9747,-67.81,68.61,94,100,5.75,BR,2022-05-04 17:13:48
29,Biltine,14.5333,20.9167,100.58,16,6,7.16,TD,2022-05-04 17:13:49
30,San Quintin,30.4833,-115.95,62.47,67,11,7.74,MX,2022-05-04 17:13:49
31,Salalah,17.0151,54.0924,84.29,89,20,3.44,OM,2022-05-04 17:12:59
32,Koumac,-20.5667,164.2833,75.36,87,12,2.46,NC,2022-05-04 17:13:49
33,Pavullo Nel Frignano,44.3315,10.835,63.34,83,95,2.98,IT,2022-05-04 17:13:50
34,Avarua,-21.2078,-159.775,77.05,88,20,4.61,CK,2022-05-04 17:13:50
35,Busselton,-33.65,115.3333,51.71,67,0,12.95,AU,2022-05-04 17:13:51
36,Kapaa,22.0752,-159.319,73.72,90,75,19.57,US,2022-05-04 17:13:51
37,Okhotsk,59.3833,143.3,31.03,86,91,10.76,RU,2022-05-04 17:13:52
38,Erenhot,43.6475,111.9767,66.07,23,73,5.64,CN,2022-05-04 17:13:52
39,Florence,43.7667,11.25,73.08,68,20,10.36,IT,2022-05-04 17:09:29
40,Campbell River,50.0163,-125.2446,47.73,85,100,4.9,CA,2022-05-04 17:13:52
41,Kahului,20.8947,-156.47,73.85,84,40,14.97,US,2022-05-04 17:13:53
42,Nesbyen,60.5681,9.1027,52.02,58,67,4.0,NO,2022-05-04 17:13:53
43,Tuktoyaktuk,69.4541,-133.0374,23.0,93,100,12.66,CA,2022-05-04 17:12:54
44,Tazovskiy,67.4667,78.7,34.18,99,100,17.36,RU,2022-05-04 17:13:54
45,Nikolskoye,59.7035,30.7861,42.69,58,62,7.58,RU,2022-05-04 17:13:54
46,Bluff,-46.6,168.3333,46.8,81,1,8.32,NZ,2022-05-04 17:14:55
47,Kodiak,57.79,-152.4072,42.31,87,100,4.61,US,2022-05-04 17:10:00
48,Cape Town,-33.9258,18.4232,66.11,84,70,8.01,ZA,2022-05-04 17:14:55
49,New Norfolk,-42.7826,147.0587,42.71,80,57,1.81,AU,2022-05-04 17:14:55
50,Ushuaia,-54.8,-68.3,44.22,65,40,13.8,AR,2022-05-04 17:11:50
51,Mar Del Plata,-38.0023,-57.5575,66.94,53,0,23.02,AR,2022-05-04 17:14:56
52,Castro,-24.7911,-50.0119,56.05,77,68,12.28,BR,2022-05-04 17:14:56
53,Anloga,5.7947,0.8973,84.24,73,82,13.6,GH,2022-05-04 17:14:57
54,Kirakira,-10.4544,161.9205,78.87,80,6,1.41,SB,2022-05-04 17:14:57
55,Port Elizabeth,-33.918,25.5701,66.09,91,19,3.42,ZA,2022-05-04 17:12:18
56,Sitka,57.0531,-135.33,44.49,70,75,16.11,US,2022-05-04 17:14:58
57,Xai-Xai,-25.0519,33.6442,68.97,76,53,5.14,MZ,2022-05-04 17:14:58
58,Stephenville,32.2207,-98.2023,76.75,86,100,11.5,US,2022-05-04 17:14:59
59,Hobart,-42.8794,147.3294,43.05,91,79,9.22,AU,2022-05-04 17:10:47
60,Olafsvik,64.8945,-23.7142,35.58,64,96,5.73,IS,2022-05-04 17:14:59
61,Avera,33.194,-82.5271,85.37,43,70,7.2,US,2022-05-04 17:10:55
62,Thompson,55.7435,-97.8558,29.93,81,100,10.4,CA,2022-05-04 17:15:00
63,Tautira,-17.7333,-149.15,81.41,77,80,11.14,PF,2022-05-04 17:15:00
64,Augusto Correa,-1.0217,-46.635,83.37,78,40,5.19,BR,2022-05-04 17:15:01
65,Ahipara,-35.1667,173.1667,58.78,91,23,6.85,NZ,2022-05-04 17:15:01
66,Kavieng,-2.5744,150.7967,81.84,79,75,10.45,PG,2022-05-04 17:15:02
67,Oriximina,-1.7656,-55.8661,78.01,83,95,4.7,BR,2022-05-04 17:15:02
68,Marquette,46.5333,-87.6335,53.78,61,100,5.99,US,2022-05-04 17:15:02
69,El Seibo,18.7641,-69.0375,85.53,63,70,12.75,DO,2022-05-04 17:15:03
70,Hermanus,-34.4187,19.2345,65.8,82,20,5.26,ZA,2022-05-04 17:15:03
71,Lebu,-37.6167,-73.65,58.96,76,100,15.79,CL,2022-05-04 17:15:04
72,Bredasdorp,-34.5322,20.0403,61.02,93,45,6.04,ZA,2022-05-04 17:12:53
73,Diffa,13.3154,12.6113,102.16,12,20,13.09,NE,2022-05-04 17:15:04
74,Punta Arenas,-53.15,-70.9167,44.71,81,75,14.97,CL,2022-05-04 17:15:05
75,Liverpool,53.4106,-2.9779,56.61,84,75,11.5,GB,2022-05-04 17:15:05
76,Aykhal,66.0,111.5,15.31,91,99,3.83,RU,2022-05-04 17:15:05
77,Tiksi,71.6872,128.8694,3.52,97,19,4.07,RU,2022-05-04 17:11:58
78,Albany,42.6001,-73.9662,52.63,92,100,5.28,US,2022-05-04 17:15:06
79,Bakchar,57.0186,82.0711,41.14,53,3,3.4,RU,2022-05-04 17:15:06
80,Dingle,10.9995,122.6711,77.58,81,76,7.05,PH,2022-05-04 17:15:07
81,Saint-Philippe,-21.3585,55.7679,74.79,87,56,15.12,RE,2022-05-04 17:12:56
